Year,variable,value,Type,Powertrain,Technology
2050,SUV-BEV-Lng,0,SUV,BEV,BEV-Lng
2021,SUV-FCEV,6.71E-12,SUV,FCEV,FCEV
2022,SUV-FCEV,7.20E-12,SUV,FCEV,FCEV
2023,SUV-FCEV,7.25E-12,SUV,FCEV,FCEV
2024,SUV-FCEV,4.53E-12,SUV,FCEV,FCEV
2025,SUV-FCEV,8.37E-12,SUV,FCEV,FCEV
2026,SUV-FCEV,2259.037939,SUV,FCEV,FCEV
2027,SUV-FCEV,849.5575541,SUV,FCEV,FCEV
2028,SUV-FCEV,1218.884923,SUV,FCEV,FCEV
2029,SUV-FCEV,1267.943547,SUV,FCEV,FCEV
2030,SUV-FCEV,863.1396322,SUV,FCEV,FCEV
2031,SUV-FCEV,1726.566341,SUV,FCEV,FCEV
2032,SUV-FCEV,858.3162785,SUV,FCEV,FCEV
2033,SUV-FCEV,1084.945209,SUV,FCEV,FCEV
2034,SUV-FCEV,410.5907802,SUV,FCEV,FCEV
2035,SUV-FCEV,0,SUV,FCEV,FCEV
2036,SUV-FCEV,0,SUV,FCEV,FCEV
2037,SUV-FCEV,0,SUV,FCEV,FCEV
2038,SUV-FCEV,0,SUV,FCEV,FCEV
2039,SUV-FCEV,0,SUV,FCEV,FCEV
2040,SUV-FCEV,0,SUV,FCEV,FCEV
2041,SUV-FCEV,0,SUV,FCEV,FCEV
2042,SUV-FCEV,0,SUV,FCEV,FCEV
2043,SUV-FCEV,0,SUV,FCEV,FCEV
2044,SUV-FCEV,0,SUV,FCEV,FCEV
2045,SUV-FCEV,0,SUV,FCEV,FCEV
2046,SUV-FCEV,0,SUV,FCEV,FCEV
2047,SUV-FCEV,0,SUV,FCEV,FCEV
2048,SUV-FCEV,0,SUV,FCEV,FCEV
2049,SUV-FCEV,0,SUV,FCEV,FCEV
2050,SUV-FCEV,0,SUV,FCEV,FCEV
2021,SUV-H2ICE,0,SUV,H2ICEV,H2ICE
2022,SUV-H2ICE,0,SUV,H2ICEV,H2ICE
2023,SUV-H2ICE,0,SUV,H2ICEV,H2ICE
2024,SUV-H2ICE,0,SUV,H2ICEV,H2ICE
2025,SUV-H2ICE,0,SUV,H2ICEV,H2ICE
2026,SUV-H2ICE,0,SUV,H2ICEV,H2ICE
2027,SUV-H2ICE,0,SUV,H2ICEV,H2ICE
2028,SUV-H2ICE,0,SUV,H2ICEV,H2ICE
2029,SUV-H2ICE,0,SUV,H2ICEV,H2ICE
2030,SUV-H2ICE,0,SUV,H2ICEV,H2ICE
2031,SUV-H2ICE,0,SUV,H2ICEV,H2ICE
2032,SUV-H2ICE,0,SUV,H2ICEV,H2ICE
2033,SUV-H2ICE,0,SUV,H2ICEV,H2ICE
2034,SUV-H2ICE,0,SUV,H2ICEV,H2ICE
2035,SUV-H2ICE,0,SUV,H2ICEV,H2ICE
2036,SUV-H2ICE,0,SUV,H2ICEV,H2ICE
2037,SUV-H2ICE,0,SUV,H2ICEV,H2ICE
2038,SUV-H2ICE,0,SUV,H2ICEV,H2ICE
2039,SUV-H2ICE,0,SUV,H2ICEV,H2ICE
2040,SUV-H2ICE,0,SUV,H2ICEV,H2ICE
2041,SUV-H2ICE,0,SUV,H2ICEV,H2ICE
2042,SUV-H2ICE,0,SUV,H2ICEV,H2ICE
2043,SUV-H2ICE,0,SUV,H2ICEV,H2ICE
2044,SUV-H2ICE,0,SUV,H2ICEV,H2ICE
2045,SUV-H2ICE,0,SUV,H2ICEV,H2ICE
2046,SUV-H2ICE,0,SUV,H2ICEV,H2ICE
2047,SUV-H2ICE,0,SUV,H2ICEV,H2ICE
2048,SUV-H2ICE,0,SUV,H2ICEV,H2ICE
2049,SUV-H2ICE,0,SUV,H2ICEV,H2ICE
2050,SUV-H2ICE,0,SUV,H2ICEV,H2ICE
